100,0.014363
200,0.021750
300,0.038574
400,0.045961
500,0.057862
600,0.067300
700,0.078381
800,0.091512
900,0.102182
1000,0.105054
2000,0.224061
3000,0.396416
4000,0.648382
5000,0.776827
6000,0.958209
7000,0.998836
8000,1.002940
9000,1.086244
10000,1.696462
20000,2.930029
30000,4.757398
40000,6.926195
50000,8.812657
60000,22.360553
70000,12.675453
80000,13.533533
90000,30.249471
100000,17.104557

