100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,15.62190055847168
700,15.632152557373047
800,0.0
900,15.628576278686523
1000,15.626668930053711
2000,31.256437301635742
3000,46.744346618652344
4000,46.88262939453125
5000,78.14621925354004
6000,93.90521049499512
7000,109.3902587890625
8000,125.01788139343262
9000,140.64455032348633
10000,156.25357627868652
20000,343.6627388000488
30000,562.5870227813721
40000,765.7396793365479
50000,1000.0247955322266
60000,1109.5373630523682
70000,1328.3178806304932
80000,1594.1226482391357
90000,1763.9451026916504
100000,5130.37633895874
