100,0.0
200,0.0
300,0.0
400,15.755176544189453
500,0.0
600,0.0
700,0.0
800,0.0
900,15.495061874389648
1000,15.698909759521484
2000,31.250476837158203
3000,78.13596725463867
4000,78.13501358032227
5000,78.13715934753418
6000,93.76335144042969
7000,125.14948844909668
8000,140.78450202941895
9000,171.78058624267578
10000,187.52694129943848
20000,359.4164848327637
30000,671.8599796295166
40000,876.2290477752686
50000,1269.7770595550537
60000,1288.6042594909668
70000,1390.8307552337646
80000,1609.6117496490479
90000,1812.6368522644043
100000,2031.5487384796143
