100,1.9502639770507812
200,10.529756546020508
300,19.54960823059082
400,39.610862731933594
500,58.161258697509766
600,90.75260162353516
700,117.87962913513184
800,149.4147777557373
900,192.53802299499512
1000,234.15064811706543
2000,971.2047576904297
3000,2301.4111518859863
4000,3940.7551288604736
5000,5541.64457321167
6000,7936.939716339111
7000,18085.36982536316
8000,18031.567096710205
9000,21231.051921844482
10000,28513.113737106323
20000,119550.66061019897
30000,282718.70470046997
40000,474549.6861934662
50000,708569.3454742432
60000,1083840.2347564697
70000,1327878.8270950317
80000,2006524.589061737
90000,2651118.0238723755
100000,3279104.331970215
